,"bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs_annotator_ 1","cs_annotator_ 2","cs_annotator_ 3","cs_annotator_ 4","cs_annotator_ 5","cs_annotator_ 6","cs_annotator_ 7","cs_annotator_ 8","cs_annotator_ 9","cs_annotator_ 10","cs_annotator_ 11","cs_annotator_ 12","cs_annotator_ 13","cs_annotator_ 14","cs_annotator_ 15","cs_annotator_ 16","cs_annotator_ 17","cs_annotator_ 18","cs_annotator_ 19","cs_annotator_ 20","cs_annotator_ 21","cs_annotator_ 22","cs_annotator_ 23","cs_annotator_ 24","cs_annotator_ 25","cs upper CI","cs mean","cs lower CI"
"103","cucumber-potato_okurka-brambora","cucumber-potato","cucumber","potato","okurka-brambora","okurka","brambora",7,"5",7,"5",7,5,10,2,"7",8,6,8,7,"8.7","8","8",8,"4","8",6,10,8,"6.5",6,8,"16.2355172211403","10.92","5.60448277885969"
"104","cup-article_šálek-artikl","cup-article","cup","article","šálek-artikl","šálek","artikl",4,"3",0,"7",7,0,0,0,"6",6,2,6,4,"6.5","3","6",1,"2","4",2,2,5,"1",0,6,"9.9857364905931","6.04","2.0942635094069"
"105","cup-article_šálek-předmět","cup-article","cup","article","šálek-předmět","šálek","předmět",6,"2",4,"2",9,4,7,1,"9",7,3,8,4,"8.3","5","4",4,"5","7",2,10,4,"3",3,4,"13.6536521015281","8.48","3.30634789847191"
"106","cup-article_hrnek-zboží","cup-article","cup","article","hrnek-zboží","hrnek","zboží",4,"3",2,"6",7,2,2,0,"5",6,3,8,4,"8.3","4","4.5",4,"2","4",3,7,2,"2",2,4,"12.515580887375","7.28","2.04441911262499"
"107","cup-article_šálek-kus","cup-article","cup","article","šálek-kus","šálek","kus",0,"2",0,"2",1,0,10,0,"5",6,2,1,6,"4","5","3",4,"4","5",2,6,1,"0",0,3,"7.62407971899086","4.88","2.13592028100914"
"108","cup-artifact_hrnek-artefakt","cup-artifact","cup","artifact","hrnek-artefakt","hrnek","artefakt",6,"1",2,"4",8,5,0,2,"2",4,4,7,3,"7.7","2","5",0,"3","5",2,10,5,"5",1,7,"12.0093708102732","7.2","2.39062918972679"
"109","cup-artifact_šálek-výrobek","cup-artifact","cup","artifact","šálek-výrobek","šálek","výrobek",4,"1",4,"4",7,0,0,0,"9",6,4,7,6,"8.1","4","6",3,"2","5",2,9,3,"1",2,4,"12.3013863192145","7.16","2.01861368078545"
"110","cup-artifact_šálek-artefakt","cup-artifact","cup","artifact","šálek-artefakt","šálek","artefakt",0,"1",1,"1",7,0,3,0,"3",6,4,5,6,"3","0","5",1,"2","5",2,10,2,"2",1,4,"6.60690463026935","4.56","2.51309536973065"
"111","cup-coffee_šálek-káva","cup-coffee","cup","coffee","šálek-káva","šálek","káva",6,"8",7,"8",10,10,10,8,"10",9,8,9,8,"9.7","7","8",9,"9.5","7",8,10,9,"9.5",7,7,"19.8803804160776","13.52","7.15961958392236"
"112","cup-coffee_hrnek-káva","cup-coffee","cup","coffee","hrnek-káva","hrnek","káva",6,"6",6,"8.5",9,9,9,4,"10",6,7,9,8,"9","7","7",8,"6","7",8,10,9,"6",8,7,"17.1257045247784","11.52","5.91429547522163"
"113","cup-coffee_šálek-čaj","cup-coffee","cup","coffee","šálek-čaj","šálek","čaj",6,"8",6,"9",10,9,7,4,"9",9,7,9,10,"9.2","7","7",8,"8","7",8,10,9,"7",8,7,"18.4462730490916","12.68","6.91372695090836"
"114","cup-drink_šálek-pití","cup-drink","cup","drink","šálek-pití","šálek","pití",6,"6",8,"8",9,10,10,7,"10",6,8,9,6,"8.6","8","6",7,"6","8",6,9,8,"8.5",7,7,"16.8673236059175","11.6","6.3326763940825"
"115","cup-drink_hrnek-pít","cup-drink","cup","drink","hrnek-pít","hrnek","pít",7,"5",7,"8",6,7,9,7,"9",7,5,7,6,"9.3","5","7",8,"5","7",6,10,7,"8",6,7,"17.458177710749","11.56","5.661822289251"
"116","cup-entity_hrnek-entita","cup-entity","cup","entity","hrnek-entita","hrnek","entita",3,"0.5",0,"0",4,0,0,0,"0",1,1,7,4,"3.4","1","2",0,"4","1",1,0,0,"3",0,2,"5.65067121646417","3.24","0.829328783535826"
"117","cup-entity_šálek-entita","cup-entity","cup","entity","šálek-entita","šálek","entita",3,"1",0,"0",1,0,0,0,"1",3,1,4,4,"3.1","1","2",0,"6","3",0,0,0,"0.5",1,4,"5.39460906592906","3.16","0.925390934070943"
"118","cup-food_hrnek-jídlo","cup-food","cup","food","hrnek-jídlo","hrnek","jídlo",4,"2",5,"6.5",7,7,9,5,"5",5,6,7,5,"6","2","6",6,"3.3","7",3,8,3,"7",6,7,"11.9522601504816","8.48","5.00773984951841"
"119","cup-food_šálek-jídlo","cup-food","cup","food","šálek-jídlo","šálek","jídlo",6,"2",4,"6.5",7,7,7,0,"7",5,6,7,3,"6.5","2","6",6,"4","5",3,7,5,"3",4,7,"11.604160102615","7.92","4.235839897385"
"120","cup-liquid_šálek-tekutina","cup-liquid","cup","liquid","šálek-tekutina","šálek","tekutina",2,"3",5,"8",5,5,9,1,"7",6,4,9,4,"8.7","3","4",6,"8","6",6,9,7,"5",6,3,"15.162461896795","9.64","4.11753810320497"
"121","cup-liquid_šálek-kapalina","cup-liquid","cup","liquid","šálek-kapalina","šálek","kapalina",8,"4",5,"8",7,4,1,0,"6",4,4,7,5,"4.5","2","5",5,"5","5",3,4,5,"5",3,4,"10.090571936539","7.24","4.38942806346097"
"122","cup-liquid_hrnek-tekutina","cup-liquid","cup","liquid","hrnek-tekutina","hrnek","tekutina",5,"6",6,"8",8,8,5,2,"9",6,5,7,6,"7.8","2","5",8,"3","7",5,8,8,"6.5",6,4,"14.3723933979389","9.68","4.98760660206109"
"123","cup-object_šálek-objekt","cup-object","cup","object","šálek-objekt","šálek","objekt",5,"2",1,"5",5,2,0,0,"1",5,3,5,1,"4.8","1","3",6,"2.5","5",2,7,3,"2",4,4,"8.35264360092363","5.32","2.28735639907637"
"124","cup-object_hrnek-objekt","cup-object","cup","object","hrnek-objekt","hrnek","objekt",2,"2",2,"6",6,0,0,0,"1",5,5,7,6,"3","2","5",3,"3","4",2,5,2,"1",1,4,"6.79035169344564","4.8","2.80964830655436"
"125","cup-object_šálek-věc","cup-object","cup","object","šálek-věc","šálek","věc",2,"1",4,"8",5,2,2,0,"8",6,3,7,6,"6.8","2","4",1,"6","5",2,8,2,"1",1,4,"10.934452747857","6.76","2.585547252143"
"126","cup-substance_šálek-hmota","cup-substance","cup","substance","šálek-hmota","šálek","hmota",7,"2",0,"6",7,0,0,0,"7",5,3,4,3,"4.3","3","3",1,"2","3",1,1,4,"0.5",1,6,"7.67337785845845","4.92","2.16662214154155"
"127","cup-substance_šálek-látka","cup-substance","cup","substance","šálek-látka","šálek","látka",0,"2",0,"8",1,0,0,0,"4",2,1,0,2,"3","0","2",1,"1.5","5",1,0,3,"0",0,0,"5.19718780316619",3,"0.802812196833811"
"128","cup-substance_hrnek-látka","cup-substance","cup","substance","hrnek-látka","hrnek","látka",2,"0",0,"7",1,0,0,0,"3",4,1,5,4,"2.9","0","2",1,"1","5",1,1,1,"0",0,4,"5.17755981368156","3.16","1.14244018631844"
"129","cup-substance_šálek-podstata","cup-substance","cup","substance","šálek-podstata","šálek","podstata",1,"0",0,"1",1,0,0,0,"0",3,1,2,4,"1.3","0","2",1,"1.5","4",1,0,0,"1",0,0,"2.60787627174767","1.72","0.832123728252332"
"130","cup-tableware_šálek-nádobí","cup-tableware","cup","tableware","šálek-nádobí","šálek","nádobí",9,"7",7,"9",8,6,10,2,"10",6,7,8,10,"8","8","7.5",7,"9","7",7,10,8,"8",7,8,"16.8581187670216","11.88","6.90188123297843"
"131","cup-tableware_hrnek-příbory","cup-tableware","cup","tableware","hrnek-příbory","hrnek","příbory",6,"2",7,"5",6,4,10,1,"5",8,3,6,5,"7.5","8","8",7,"4","6",5,10,6,"8",6,8,"14.1928810134738","9.64","5.08711898652622"
"132","currency-market_měna-trh","currency-market","currency","market","měna-trh","měna","trh",3,"5",7,"6",8,6,8,3,"9",6,4,8,6,"7.6","7","6",8,"4.5","6",5,10,4,"6",6,6,"14.2965840502582","9.8","5.30341594974182"
"133","day-dawn_den-úsvit","day-dawn","day","dawn","den-úsvit","den","úsvit",8,"7",6,"7",7,10,8,4,"10",6,7,8,8,"9.8","8","7",6,"9.9","8",7,7,8,"6.5",7,9,"18.7393980264794","12.28","5.82060197352062"
"134","day-dawn_den-svítání","day-dawn","day","dawn","den-svítání","den","svítání",7,"7.5",5,"7",8,10,10,4,"9",7,6,8,4,"9.8","8","6",6,"9.8","8",7,7,8,"7",6,9,"18.9191430065209","12.48","6.04085699347908"
"135","day-summer_den-léto","day-summer","day","summer","den-léto","den","léto",7,"0",6,"2",6,2,9,0,"7",7,3,5,4,"6.5","1","6.5",4,"2","5",5,8,3,"4",2,5,"10.866997044348","7.04","3.21300295565199"
"136","death-inmate_smrt-spolubydlící","death-inmate","death","inmate","smrt-spolubydlící","smrt","spolubydlící",1,"0",0,"1",1,0,0,0,"0",4,1,1,0,"3","1","2",1,"1.5","5",1,0,0,"1",2,1,"4.33200440452889","2.36","0.387995595471111"
"137","death-inmate_smrt-chovanec","death-inmate","death","inmate","smrt-chovanec","smrt","chovanec",4,"0",0,"2",1,0,0,0,"2",6,1,3,0,"5","1","4",3,"4","7",1,4,1,"7",0,1,"8.2781436793842","4.8","1.3218563206158"
"138","death-inmate_smrt-pacient","death-inmate","death","inmate","smrt-pacient","smrt","pacient",3,"2",7,"5",7,7,10,1,"6",6,4,8,6,"8.7","4","6",6,"5","7",4,10,6,"5",6,6,"15.0030536034885","9.6","4.19694639651147"
"139","death-row_smrt-řada","death-row","death","row","smrt-řada","smrt","řada",3,"3.5",0,"1",1,1,6,0,"0",4,1,1,5,"7","2","3",0,"9","2",1,0,1,"0",0,0,"9.93348734595865","5.2","0.466512654041355"
"140","death-row_smrt-hádka","death-row","death","row","smrt-hádka","smrt","hádka",7,"2",3,"3",4,0,1,0,"4",5,1,7,3,"6.7","1","4",3,"2","5",1,8,2,"4",2,2,"10.0052411807909","5.96","1.91475881920907"
"141","decoration-valor_dekorace-odvaha","decoration-valor","decoration","valor","dekorace-odvaha","dekorace","odvaha",2,"2",0,"1",2,0,0,0,"3",1,2,1,2,"3","3","2",0,"5","1",0,1,2,"0.5",0,1,"5.1598291308979","3.04","0.920170869102099"
"142","decoration-valor_vyznamenání-udatnost","decoration-valor","decoration","valor","vyznamenání-udatnost","vyznamenání","udatnost",3,"5",7,"1",8,8,9,8,"4",6,3,8,9,"8.8","7","7",6,"8","7",6,9,4,"6.5",6,7,"16.2902619677153","10.68","5.06973803228468"
"143","decoration-valor_řád-udatnost","decoration-valor","decoration","valor","řád-udatnost","řád","udatnost",4,"2",7,"2",8,7,10,0,"8",6,4,5,6,"1","5","7.5",7,"8","7",6,8,2,"3",6,6,"8.7880832833589","7.16","5.5319167166411"
"144","decoration-valor_řád-chrabrost","decoration-valor","decoration","valor","řád-chrabrost","řád","chrabrost",8,"1",7,"3",7,8,9,7,"8",7,4,8,7,"4","8","8",7,"4","6",6,8,4,"8.5",6,7,"11.7612526306143","9.12","6.47874736938565"
"145","delay-news_zpoždění-noviny","delay-news","delay","news","zpoždění-noviny","zpoždění","noviny",2,"0",2,"1",4,1,3,0,"7",4,1,1,6,"1.4","1","4",3,"4","2",1,2,1,"8.5",1,0,"6.05700739527247",4,"1.94299260472753"
"146","delay-news_zpoždění-zprávy","delay-news","delay","news","zpoždění-zprávy","zpoždění","zprávy",4,"1",4,"4",2,3,5,0,"7",8,1,7,7,"6","6","3",1,"5","3",5,1,2,"7.5",2,0,"10.407505962095","6.6","2.79249403790498"
"147","delay-racism_zpoždění-rasismus","delay-racism","delay","racism","zpoždění-rasismus","zpoždění","rasismus",0,"0",0,"1",0,0,0,0,"1",1,1,1,0,"2","0","2",0,"1","1",0,0,0,"0",0,0,"2.66137529423512","1.32","-0.0213752942351197"
"148","deployment-departure_nasazení-odchod","deployment-departure","deployment","departure","nasazení-odchod","nasazení","odchod",1,"4",3,"3",1,7,0,4,"4",5,1,2,1,"2.5","6","3",1,"5","3",4,10,7,"6",6,6,"7.86808884778495","5.84","3.81191115221505"
"149","deployment-departure_rozmístění-odjezd","deployment-departure","deployment","departure","rozmístění-odjezd","rozmístění","odjezd",4,"0",3,"7",2,0,0,1,"3",6,1,3,5,"2.3","1","3",0,"3","4",2,1,6,"2",4,8,"6.03324301235068","4.32","2.60675698764933"
"150","deployment-departure_rozmístění-odchod","deployment-departure","deployment","departure","rozmístění-odchod","rozmístění","odchod",3,"0",5,"7",5,4,0,0,"4",7,1,4,4,"6.7","3","4",3,"4","5",1,10,6,"2",5,9,"10.8450269334977","6.84","2.83497306650226"
"151","deployment-withdrawal_nasazení-stažení","deployment-withdrawal","deployment","withdrawal","nasazení-stažení","nasazení","stažení",2,"2",6,"8",8,7,0,8,"9",7,1,1,2,"8.8","9","7",7,"3","2",6,10,9,"4",6,10,"15.2797848443852","9.6","3.92021515561484"
"152","deployment-withdrawal_rozmístění-stažení","deployment-withdrawal","deployment","withdrawal","rozmístění-stažení","rozmístění","stažení",8,"0",7,"8",3,7,5,5,"5",8,1,8,4,"3","5","5",6,"5","4",3,10,6,"5",6,10,"9.51101194534426","7.56","5.60898805465574"
"153","development-issue_rozvoj-otázka","development-issue","development","issue","rozvoj-otázka","rozvoj","otázka",5,"1",2,"1",2,1,2,0,"7",6,1,3,3,"9.3","5","3.5",4,"5","5",1,9,4,"5",0,3,"13.5695811773095","7.32","1.07041882269047"
"154","development-issue_vývoj-otázka","development-issue","development","issue","vývoj-otázka","vývoj","otázka",6,"0",0,"3",7,0,8,0,"7",6,1,1,3,"7.6","4","3",2,"4","6",3,5,3,"4",0,5,"11.387177010209","6.6","1.81282298979101"
"155","direction-combination_směr-kombinace","direction-combination","direction","combination","směr-kombinace","směr","kombinace",1,"0",0,"1",7,0,0,0,"2",4,1,3,5,"6.8","0","2",0,"4","2",2,2,1,"0",0,0,"8.43811740829705","4.2","-0.0381174082970466"
"156","disability-death_neschopnost-smrt","disability-death","disability","death","neschopnost-smrt","neschopnost","smrt",6,"0",2,"3",6,1,4,0,"8",5,1,6,2,"4.4","1","3.5",2,"4","5",1,7,3,"3",0,1,"8.13862989558441","5.28","2.42137010441559"
"157","disability-death_invalidita-smrt","disability-death","disability","death","invalidita-smrt","invalidita","smrt",3,"2",7,"3",4,7,10,3,"7",6,2,7,3,"7.1","5","5",5,"1.8","8",3,7,3,"7",7,7,"12.4969711100692","8.24","3.98302888993082"
"158","disability-death_postižení-smrt","disability-death","disability","death","postižení-smrt","postižení","smrt",4,"6",7,"4",5,3,5,2,"7",8,1,7,7,"6","2","6",3,"2","7",3,8,6,"6",7,7,"11.5818167075087","8.04","4.49818329249128"
"159","disaster-area_katastrofa-oblast","disaster-area","disaster","area","katastrofa-oblast","katastrofa","oblast",4,"1",2,"4",6,4,9,0,"5",7,2,6,3,"7.9","5","4",3,"5","7",2,8,2,"1",5,5,"12.3173944304518","7.4","2.48260556954822"
"160","disaster-area_pohroma-oblast","disaster-area","disaster","area","pohroma-oblast","pohroma","oblast",4,"2",3,"5",7,4,9,0,"3",7,3,6,6,"8","6","5",3,"4","6",5,9,2,"1.5",6,6,"12.9609736147189","8.04","3.11902638528115"
"161","discovery-space_objev-vesmír","discovery-space","discovery","space","objev-vesmír","objev","vesmír",6,"3",5,"6",7,6,10,0,"7",7,3,4,6,"7.9","7","5",4,"6","6",6,8,3,"3",5,3,"13.6137972914774","8.8","3.98620270852263"
"162","dividend-calculation_dividenda-výpočet","dividend-calculation","dividend","calculation","dividenda-výpočet","dividenda","výpočet",5,"3",4,"7",6,8,7,2,"10",6,5,7,7,"9","3","4",8,"8","5",3,7,2,"3",5,7,"15.1511617934613","9.32","3.48883820653873"
"163","dividend-calculation_dividenda-propočet","dividend-calculation","dividend","calculation","dividenda-propočet","dividenda","propočet",7,"2.5",5,"4",7,8,10,2,"6",7,2,8,7,"7.6","5","6",4,"6","5",5,4,2,"8",5,7,"13.9104949775117","9.24","4.56950502248832"
"164","dividend-calculation_dividenda-kalkulace","dividend-calculation","dividend","calculation","dividenda-kalkulace","dividenda","kalkulace",3,"2",3,"2",6,4,7,1,"5",6,3,7,1,"7.8","5","6",6,"7","6",2,2,2,"8",4,6,"13.2493387622453","8.24","3.2306612377547"
"165","dividend-payment_dividenda-platba","dividend-payment","dividend","payment","dividenda-platba","dividenda","platba",7,"7",7,"8",8,8,5,3,"9",8,3,7,4,"9","5","6",4,"5","7",7,8,5,"7.5",6,7,"16.5431786507878","10.8","5.05682134921221"
"166","doctor-liability_doktor-riziko","doctor-liability","doctor","liability","doktor-riziko","doktor","riziko",1,"2",5,"4",4,4,5,0,"7",4,5,5,4,"7","2","4",3,"7","7",4,2,6,"6",6,6,"11.9112894751407","7.64","3.36871052485933"
"167","doctor-liability_doktor-náchylnost","doctor-liability","doctor","liability","doktor-náchylnost","doktor","náchylnost",6,"2",5,"3",7,0,7,0,"6",4,1,5,7,"7","5","5",3,"5","5",3,5,4,"1.5",6,3,"11.3097988041482","7.12","2.93020119585185"
"168","doctor-liability_doktor-odpovědnost","doctor-liability","doctor","liability","doktor-odpovědnost","doktor","odpovědnost",6,"2",5,"7",8,7,9,2,"9",7,3,7,8,"9.4","3","7",4,"7.5","7",2,8,6,"7.75",5,6,"16.792448956234","10.64","4.487551043766"
"169","doctor-liability_doktor-ručení","doctor-liability","doctor","liability","doktor-ručení","doktor","ručení",0,"0",1,"4",5,0,0,0,"3",3,1,6,5,"7.6","0","3",3,"4","3",1,1,1,"0",4,3,"9.95633868570295","5.12","0.283661314297053"
"170","doctor-nurse_doktor-sestra","doctor-nurse","doctor","nurse","doktor-sestra","doktor","sestra",8,"4",7,"7",6,8,10,7,"9",8,7,9,6,"9.2","8","7.5",7,"7","8",7,10,8,"8",6,8,"17.9286857054441","12.16","6.39131429455587"
"171","doctor-nurse_lékař-sestra","doctor-nurse","doctor","nurse","lékař-sestra","lékař","sestra",8,"5",7,"7",7,8,10,7,"9",8,6,9,8,"9.7","8","7",8,"7","9",7,10,8,"8",7,8,"18.7716431339979","12.64","6.50835686600212"
"172","doctor-personnel_doktor-personál","doctor-personnel","doctor","personnel","doktor-personál","doktor","personál",6,"4",5,"6",3,2,5,1,"8",5,5,5,4,"6","5","5",6,"5","6",1,8,4,"5",3,5,"11.275900169613","7.72","4.16409983038701"
"173","dollar-buck_dolar-babka","dollar-buck","dollar","buck","dolar-babka","dolar","babka",9,"8",4,"9.5",7,4,0,4,"10",2,1,5,6,"7.1","7","8",4,"4","8",5,8,10,"9.5",6,9,"14.4329356372914","9.84","5.24706436270859"
"174","dollar-buck_dolar-doláč","dollar-buck","dollar","buck","dolar-doláč","dolar","doláč",9,"10",9,"9",10,0,10,10,"10",7,9,10,10,"0","0","9.5",9,"9","8",9,10,10,"10",10,10,"11.2929605940046","9.04","6.78703940599537"
"175","dollar-loss_dolar-ztráta","dollar-loss","dollar","loss","dolar-ztráta","dolar","ztráta",4,"4",1,"2",5,4,9,4,"8",7,2,7,4,"6","3","5",4,"2","6",4,7,4,"2",5,3,"10.6191450888211","7.12","3.6208549111789"
"176","dollar-profit_dolar-zisk","dollar-profit","dollar","profit","dolar-zisk","dolar","zisk",7,"3",5,"5",7,7,10,5,"8",7,5,8,7,"7.6","7","7",5,"3","7",5,7,5,"7",5,6,"14.222138195832","9.72","5.21786180416802"
"177","dollar-yen_dolar-jen","dollar-yen","dollar","yen","dolar-jen","dolar","jen",9,"0",7,"6",7,2,0,4,"9.5",8,6,8,0,"8.5","8","8",8,"1","8",6,10,8,"6",7,8,"15.0297398015895","9.64","4.25026019841047"
"178","dollar-yen_dolar-yen","dollar-yen","dollar","yen","dolar-yen","dolar","yen",9,"5",7,"7",7,4,9,4,"9.5",8,6,9,7,"8.5","9","8.5",8,"5","8",6,10,9,"6.5",7,8,"16.6343056542631","11.52","6.40569434573694"
"179","drink-car_pití-auto","drink-car","drink","car","pití-auto","pití","auto",8,"0",2,"2",4,0,9,0,"3",6,1,3,0,"7","4","5",2,"5","2",0,5,3,"4",2,2,"10.4889698828682","6.12","1.75103011713175"
"180","drink-car_pít-auto","drink-car","drink","car","pít-auto","pít","auto",8,"0",2,"2",4,0,10,2,"2",5,1,4,0,"3.7","4","4",3,"5","3",0,6,3,"3.5",0,2,"7.65705662875699","5.12","2.58294337124301"
"181","drink-car_pití-automobil","drink-car","drink","car","pití-automobil","pití","automobil",8,"0",2,"1",4,3,10,0,"3",4,1,3,0,"4","4","5",2,"4","3",0,3,3,"3",1,2,"7.73807085370974",5,"2.26192914629026"
"182","drink-ear_pití-ucho","drink-ear","drink","ear","pití-ucho","pití","ucho",4,"2",1,"0",1,0,0,0,"1",4,1,0,1,"0.5","2","3",4,"4","2",2,4,1,"2",0,1,"3.73723191228506","2.68","1.62276808771494"
"183","drink-ear_pít-ucho","drink-ear","drink","ear","pít-ucho","pít","ucho",2,"4",2,"1",1,0,0,0,"0",6,1,2,0,"0","0","4",3,"4","3",2,8,1,"2",0,1,"4.19788179034321","2.88","1.56211820965679"
"184","drink-eat_pití-jíst","drink-eat","drink","eat","pití-jíst","pití","jíst",8,"7",7,"9",8,8,10,9,"9",7,7,9,5,"9.8","5","8",8,"8","8",3,10,7,"9",7,8,"19.2712209738315","12.92","6.5687790261685"
"185","drink-eat_pít-jíst","drink-eat","drink","eat","pít-jíst","pít","jíst",8,"8",8,"8.5",6,6,10,5,"9.5",8,5,8,8,"9.7","9","8.5",8,"5","8",6,10,8,"9",7,8,"19.0011236885211","12.76","6.51887631147893"
"186","drink-mother_pití-matka","drink-mother","drink","mother","pití-matka","pití","matka",8,"3",6,"6.5",2,0,7,0,"2",5,2,5,5,"6.7","6","5",2,"9","1",4,2,5,"3.5",4,5,"11.8531736024118","7.56","3.26682639758817"
"187","drink-mother_pít-matka","drink-mother","drink","mother","pít-matka","pít","matka",4,"1",5,"1",2,2,3,0,"3",7,2,5,7,"7","2","5",3,"8","4",5,6,5,"4",2,7,"11.511645813192","7.16","2.80835418680797"
"188","drink-mouth_pití-ústa","drink-mouth","drink","mouth","pití-ústa","pití","ústa",8,"3",7,"7",2,2,6,3,"7",7,3,7,8,"8.8","3","6",5,"6","6",6,7,5,"7.5",6,6,"15.4880473720298","9.84","4.19195262797024"
"189","drink-mouth_pití-pusa","drink-mouth","drink","mouth","pití-pusa","pití","pusa",7,"5",7,"7",7,0,1,2,"9",7,3,7,8,"9","6","5",5,"4","4",6,5,5,"6",6,7,"15.4432873814613","9.64","3.83671261853867"
"190","drink-mouth_pít-ústa","drink-mouth","drink","mouth","pít-ústa","pít","ústa",8,"6",7,"7",7,6,9,3,"9",8,7,9,6,"9.3","7","7.5",8,"8","5",7,9,7,"6.5",6,7,"17.6608251915227","11.76","5.85917480847726"
"191","drug-abuse_droga-zneužití","drug-abuse","drug","abuse","droga-zneužití","droga","zneužití",5,"5",5,"5",6,8,8,2,"8",7,5,7,7,"7","3","4",7,"8","9",6,7,7,"9",6,8,"14.4209717729815","10.16","5.8990282270185"
"192","drug-abuse_droga-užívání","drug-abuse","drug","abuse","droga-užívání","droga","užívání",7,"6",5,"6",7,9,9,6,"8",8,6,8,8,"8.74","7","6",7,"7","8",7,9,7,"6.5",6,6,"16.6831189448038","11.32","5.95688105519619"
"193","drug-abuse_droga-zneužívání","drug-abuse","drug","abuse","droga-zneužívání","droga","zneužívání",8,"5",7,"6",7,9,10,2,"7",7,5,8,9,"8.6","7","6",7,"7","8",7,9,7,"9",4,6,"16.7193581585172","11.36","6.00064184148275"
"194","energy-crisis_energie-krize","energy-crisis","energy","crisis","energie-krize","energie","krize",4,"4",7,"2",7,6,3,0,"3",7,2,8,3,"7.4","3","3",5,"4","4",6,8,5,"8.5",4,0,"12.6970991831428","8.04","3.38290081685717"
"195","energy-laboratory_energie-laboratoř","energy-laboratory","energy","laboratory","energie-laboratoř","energie","laboratoř",2,"4",3,"1",7,0,2,0,"3",5,2,5,5,"6.6","4","5",2,"4","6",5,7,3,"3",4,2,"10.4142764639787","6.48","2.54572353602128"
"196","energy-secretary_energie-tajemník","energy-secretary","energy","secretary","energie-tajemník","energie","tajemník",0,"4",0,"4",0,1,5,0,"3",5,1,2,3,"2","2","3",3,"2.5","1",3,0,0,"0",0,0,"4.68874394012394","3.12","1.55125605987606"
"197","energy-secretary_energie-sekretářka","energy-secretary","energy","secretary","energie-sekretářka","energie","sekretářka",2,"1",0,"1",2,0,7,0,"4",7,1,2,0,"3.4","2","4",1,"9","3",0,0,1,"1",0,0,"7.28158315064312","4.28","1.27841684935688"
"198","energy-secretary_energie-ministr","energy-secretary","energy","secretary","energie-ministr","energie","ministr",2,"0",2,"1",4,0,5,0,"4",5,1,7,0,"4","0","3",1,"5","2",2,4,3,"0",0,0,"6.79224310423019","4.04","1.28775689576981"
"199","environment-ecology_prostředí-ekologie","environment-ecology","environment","ecology","prostředí-ekologie","prostředí","ekologie",8,"5",7,"7",8,10,7,7,"8",7,7,9,9,"7","8","6",6,"6","8",6,10,5,"8",6,8,"14.9057364905931","10.96","7.0142635094069"
"200","environment-ecology_životní prostředí-ekologie","environment-ecology","environment","ecology","životní prostředí-ekologie","životní prostředí","ekologie",9,"6",7,"7",8,9,10,2,"10",8,8,9,10,"8.4","8","8",8,"7","8",7,10,7,"8",7,8,"16.9058030620916","11.8","6.69419693790837"
"201","equipment-maker_výbava-výrobce","equipment-maker","equipment","maker","výbava-výrobce","výbava","výrobce",3,"2",2,"3",4,1,0,0,"2",2,1,6,4,"4.5","3","4.5",1,"4","2",3,8,2,"3",4,3,"8.07714664785467","5.2","2.32285335214533"
"202","equipment-maker_vybavení-výrobce","equipment-maker","equipment","maker","vybavení-výrobce","vybavení","výrobce",8,"5",2,"6",5,1,2,0,"3",6,3,6,6,"6","2","3",5,"5","5",4,8,5,"6",2,6,"10.98776775741","7.36","3.73223224258998"
"203","exhibit-memorabilia_exponát-pamětihodnosti","exhibit-memorabilia","exhibit","memorabilia","exponát-pamětihodnosti","exponát","pamětihodnosti",9,"6",7,"8.5",7,7,10,5,"8",7,8,8,10,"8","5","6",7,"5.5","8",8,7,3,"8.5",6,7,"16.0901383588535","11.28","6.46986164114649"
"204","exhibit-memorabilia_vystavení-památka","exhibit-memorabilia","exhibit","memorabilia","vystavení-památka","vystavení","památka",6,"3",5,"4",7,8,9,7,"6",7,3,7,7,"8.8","5","5",5,"7","6",6,6,2,"3.5",5,5,"15.1687027704112","9.6","4.03129722958884"
"205","exhibit-memorabilia_exponát-memorabilia","exhibit-memorabilia","exhibit","memorabilia","exponát-memorabilia","exponát","memorabilia",5,"5",6,"7",9,6,5,3,"6",6,6,9,3,"8.4","5","7",3,"4","8",4,10,3,"6",0,5,"14.7353412374635","9.48","4.22465876253653"
"206","exhibit-memorabilia_výstava-memorabilia","exhibit-memorabilia","exhibit","memorabilia","výstava-memorabilia","výstava","memorabilia",5,"4",5,"7",7,6,0,1,"8",6,4,7,5,"7.6","3","6",4,"4","7",4,8,3,"3",0,7,"12.9264769760436","8.28","3.63352302395641"
"207","experience-music_zkušenost-hudba","experience-music","experience","music","zkušenost-hudba","zkušenost","hudba",1,"4",1,"5",2,0,0,0,"1",7,2,7,5,"3.7","0","3",1,"2","2",0,0,1,"0",0,0,"6.23768027261282","3.68","1.12231972738718"
"208","family-planning_rodina-plánování","family-planning","family","planning","rodina-plánování","rodina","plánování",7,"2",5,"7",5,8,10,2,"7",6,3,7,8,"8.9","8","5",5,"6","7",5,10,5,"2",7,7,"15.5393657650074","9.92","4.30063423499257"
