Word 1;Word 2;Human (mean);Slovo 1 p1;Slovo 2 p1;Slovo 1 p2;Slovo 2 p2;Slovo 1 p3;Slovo 2 p3;Slovo 1 p4;Slovo 2 p4;Word 1 orig;Word 2 orig
oznámení;varování;6;oznámení;varování;oznámení;varování;oznámení;varování;oznámení;varování;announcement;warning
zisk;varování;3,88;zisk;varování;zisk;varování;zisk;varování;zisk;varování;profit;warning
zisk;ztráta;7,63;zisk;ztráta;zisk;ztráta;zisk;ztráta;zisk;ztráta;profit;loss
dolar;jen;7,78;dolar;jen;dolar;jen;dolar;yen;dolar;jen;dollar;yen
dolar;doláč;9,22;dolar;doláč;dolar;doláč;dolar;doláč;dolar;babka;dollar;buck
dolar;zisk;7,38;dolar;zisk;dolar;zisk;dolar;zisk;dolar;zisk;dollar;profit
dolar;ztráta;6,09;dolar;ztráta;dolar;ztráta;dolar;ztráta;dolar;ztráta;dollar;loss
počítač;software;8,5;počítač;software;počítač;softwar;počítač;software;počítač;software;computer;software
síť;hardware;8,31;síť;hardware;síť;hardware;síť;hardware;síť ;hardware;network;hardware
telefon;zařízení;7,13;telefon;vybavení;telefon;výbava;telefon;vybavení;telefon;vybavení;phone;equipment
zařízení;výrobce;5,91;vybavení;výrobce;výbava;výrobce;vybavení;výrobce;vybavení;výrobce;equipment;maker
luxus;auto;6,47;luxus;auto;luxus;auto;luxus;automobil;luxus;auto;luxury;car
pět;měsíc;3,38;pět;měsíc;pět;měsíc;pět;měsíc;pět;měsíc;five;month
zpráva;zisk;3,63;zpráva;výtěžek;reportáž;nárůst;zpráva;zisk;zpráva;výnos;report;gain
investor;výdělek;7,13;investor;výnos;investor;příjem;investor;výdělek;investor;výdělek;investor;earning
tekutina;voda;7,89;tekutina;voda;tekutina;voda;kapalina;voda;tekutina;voda;liquid;water
baseball;sezóna;5,97;basebal;sezóna;baseball;sezóna;baseball;sezóna;baseball;sezóna;baseball;season
hra;vítězství;7,03;hra;vítězství;hra;vítězství;hra;vítězství;hra;vítězství;game;victory
hra;tým;7,69;hra;tým;hra;tým;hra;tým;hra;tým;game;team
maratón;sprint;7,47;maratón;sprint;maraton;skok;maratón;sprint;maraton;sprint;marathon;sprint
hra;série;6,19;hra;série;hra;série;hra;série;hra;série;game;series
hra;porážka;6,97;hra;porážka;hra;porážka;hra;porážka;hra;porážka;game;defeat
sedm;série;3,56;sedm;série;sedm;série;sedm;série;sedm;série;seven;series
ryby;moře;7,47;mořské plody;moře;rybí;moře;krevety;moře;ryby;moře;seafood;sea
ryby;jídlo;8,34;mořské plody;jídlo;rybí;jídlo;krevety;jídlo;ryby;jídlo;seafood;food
ryby;humr;8,7;mořské plody;humr;rybí;humr;krevety;humr;ryby;humr;seafood;lobster
humr;jídlo;7,81;humr;jídlo;humr;jídlo;humr;jídlo;humr;jídlo;lobster;food
humr;víno;5,7;humr;víno;humr;víno;humr;víno;humr;víno;lobster;wine
jídlo;příprava;6,22;jídlo;příprava;jídlo;příprava;jídlo;příprava;jídlo;příprava;food;preparation
video;archiv;6,34;video;archiv;video;archiv;video;archív;video;archív;video;archive
začátek;rok;4,06;začátek;rok;začátak;rok;začátek;rok;začátek;rok;start;year
začátek;zápas;4,47;začátek;zápas;začátek;zápas;začátek;zápas;začátek;zápas;start;match
hra;kolo;5,97;hra;kolo;hra;kolo;hra;kolo;hra;kolo;game;round
box;kolo;7,61;box;kolo;box;kolo;hra;kolo;box;kolo;boxing;round
mistrovství;turnaj;8,36;mistrovství;turnaj;mistrovství;turnaj;mistrovství;turnaj;šampionát;turnaj;championship;tournament
boj;porážení;7,41;zápas;porážka;bojování;porážení;boj;porážení;bojování;porážení;fighting;defeating
čára;pojištění;2,69;druh;pojištění;linka;pojištění;linie;pojištění;čára;pojištění;line;insurance
den;léto;3,94;den;léto;den;léto;den;léto;den;léto;day;summer
léto;sucho;7,16;léto;sucho;léto;sucho;léto;sucho;léto;sucho;summer;drought
léto;příroda;5,63;léto;příroda;léto;příroda;léto;příroda;léto;příroda;summer;nature
den;svítání;7,53;den;svítání;den;svítání;den;úsvit;den;úsvit;day;dawn
příroda;prostředí;8,31;příroda;životní prostředí;příroda;prostředí;příroda;prostředí;příroda;prostředí;nature;environment
prostředí;ekologie;8,81;životní prostředí;ekologie;prostředí;ekologie;prostředí;ekologie;prostředí;ekologie;environment;ecology
příroda;člověk;6,25;příroda;man;příroda;člověk;příroda;člověk;příroda;člověk;nature;man
muž;žena;8,3;muž;žena;muž;žena;muž;žena;muž;žena;man;woman
muž;guvernér;5,25;muž;guvernér;muž;guvernér;člověk;guvernér;muž;guvernér;man;governor
vražda;zabití;8,53;vražda;zabití;vražda;zabití;vražda;zabití;vražda;zabití;murder;manslaughter
mýdlo;opera;7,94;mýdlová;opera;mýdlo;opera;mýdlo;opera;mýdlo;opera;soap;opera
opera;představení;6,88;opera;představení;opera;vystoupení;opera;vystoupení;opera;představení;opera;performance
život;lekce;5,94;život;lekce;život;lekce;život;lekce;život;lekce;life;lesson
zaostření;život;4,06;zaměření;život;pozornost;život;zaostření;život;smysl;život;focus;life
produkce;posádka;6,25;výroba;posádka;produkce;obsluha;produkce;posádka;produkce;štáb;production;crew
televize;film;7,72;televize;film;televize;film;televize;film;televize;film;television;film
milenec;hádka;6,19;milenec;hádka;milenec;hádka;milenec;hádka;milenec;hádka;lover;quarrel
divák;seriál;2,97;divák;seriál;divák;seriál;divák;seriál;divák;seriál;viewer;serial
možnost;dívka;1,94;možnost;dívka;možnost;dívka;možnost;děvče;možnost;dívka;possibility;girl
populace;rozvoj;3,75;populace;rozvoj;populace;vývoj;populace;vývoj;populace;rozvoj;population;development
moralita;důležitost;3,31;moralita;význam;moralita;důležitost;mravnost;důležitost;morálka;důležitost;morality;importance
moralita;manželství;3,69;moralita;manželství;moralita;manželství;mravnost;manželství;morálka;manželství;morality;marriage
Mexiko;Brazílie;7,44;Mexiko;Brazílie;Mexiko;Brazílie;Mexiko;Brazílie;Mexiko;Brazílie;Mexico;Brazil
pohlaví;rovnost;6,41;pohlaví;rovnost;pohlaví;rovnost;rod;rovnost;pohlaví;rovnost;gender;equality
změna;postoj;5,44;změna;postoj;změna;postoj;změna;postoj;změna;postoj;change;attitude
rodina;plánování;6,25;rodina;plánování;rodina;plánování;rodina;plánování;rodina;plánování;family;planning
opera;průmysl;2,63;opera;průmysl;opera;průmysl;opera;průmysl;opera;průmysl;opera;industry
cukr;přístup;0,88;cukr;přístup;cukr;přístup;cukr;přístup;cukr;přístup;sugar;approach
postup;instituce;3,19;praxe;instituce;postup;instituce;výcvik;instituce;postup;instituce;practice;institution
ministerstvo;kultura;4,69;ministerstvo;kultury;ministerstvo;kultura;ministerstvo;kultura;ministerstvo;kultura;ministry;culture
problém;výzva;6,75;problém;výzva;problém;výzva;problém;výzva;problém;výzva;problem;challenge
velikost;význačnost;5,31;velikost;vyvýšenina;velikost;význačnost;velikost;význačnost;velikost;význačnost;size;prominence
země;občan;7,31;země;obyvatel;stát;občan;země;občan;země;občan;country;citizen
planeta;lidé;5,75;planeta;lidé;planeta;lidé;planeta;lidé;planeta;lidé;planet;people
rozvoj;otázka;3,97;rozvoj;otázka;vývoj;otázka;vývoj;otázka;rozvoj;otázka;development;issue
zkušenost;hudba;3,47;zkušenost;hudba;zkušenost;hudba;zkušenost;hudba;zkušenost;hudba;experience;music
hudba;projekt;3,63;hudba;projekt;music;project;hudba;projekt;hudba;projekt;music;project
sklo;kov;5,56;sklo;kov;sklo;kov;sklo;kov;sklo;kov;glass;metal
hliník;kov;7,83;hliník;kov;hliník;kov;hliník;kov;hliník;kov;aluminum;metal
náhoda;důvěryhodnost;3,88;náhoda;důvěryhodnost;šance;důvěryhodnost;šance;věrohodnost;šance;důvěryhodnost;chance;credibility
exponát;memorabilia;5,31;exponát;memorabilia;exponát;pamětihodnosti;vystavení;památka;výstava;memorabilia;exhibit;memorabilia
koncert;virtuos;6,81;koncert;virtuos;koncert;virtuos;koncert;virtuos;koncert;virtuos;concert;virtuoso
rock;jazz;7,59;rock;jazz;rock;jazz;rock;jazz;rock;jazz;rock;jazz
muzeum;divadlo;7,19;muzeum;divadlo;muzeum;divadlo;muzeum;divadlo;muzeum;divadlo ;museum;theater
pozorování;architektura;4,38;pozorování;architektura;pozorování;architektura;pozorování;architektura;pozorování;architektura;observation;architecture
vesmír;svět;6,53;vesmír;svět;vesmír;svět;vesmír;svět;vesmír;svět;space;world
zachování;svět;6,19;zachování;svět;zachování;svět;zachování;svět;zachování;svět;preservation;world
vstupné;lístek;7,69;vstup;lístek;vstupné;lístek;vstup;lístek;vstup;lístek;admission;ticket
přeháňka;bouřka;6,31;přeháňka;bouřka;přeháňka;bouřka;přeháňka;bouřka;přeháňka;bouře;shower;thunderstorm
přeháňka;povodeň;6,03;přeháňka;povodeň;přeháňka;záplava;přeháňka;povodeň;přeháňka;povodeň;shower;flood
počasí;předpověď;8,34;počasí;předpověď;počasí;předpověď;počasí;předpověď;počasí;předpověď;weather;forecast
pohroma;oblast;6,25;katastrofa;oblast;pohroma;oblast;pohroma;oblast;pohroma;oblast;disaster;area
guvernér;úřad;6,34;guvernér;kancelář;guvernér;úřad;guvernér;úřad;guvernér;úřad;governor;office
architektura;století;3,78;architektura;století;architektura;století;architektura;století;arichtektura;století;architecture;century
